sentence	label	missing	target
mint alternatives for canada. 	5		Mint alternatives for Canada
how can i sync my yahoo calendar with google calendar. 	6		How can I sync my Yahoo! Calendar with Google Calendar?
how do i delete my experts exchange account. 	1		How do I delete my Experts Exchange account?
alternatives to google groups with more features. 	5		Alternatives to Google Groups with more features?
email google form daily. 	7		Email Google Form daily?
how can i export track scramble data from url. 	3		How can I export track.scrobble data from last.fm?
does using emails never send it to spam filter mean i can't train their spam filter. 	4		"Does using Gmail's ""Never send it to Spam"" filter mean I can't train their spam filter?"
discard in spam mail faster in gmail. 	4		Discarding spam mail faster in Gmail
are there any good video editor youtube alternatives. 	5		Are there any good Veoh or Youtube alternatives?
alternatives to twitter. 	5		Alternatives to Twitter
how do i download a you tube video. 	2		How do I download a YouTube video?
stopping spam emails in gmail by pattern. 	4		Stopping spam emails in Gmail by pattern
how can i permanently delete my myspace account. 	1		How can I permanently delete my MySpace account?
how to disable delete a harvest account. 	1		How to disable/delete a Harvest account?
why can't i change my password and login with skype. 	0		Why can't I change my password and login with Skype?
alternatives for google reader with android synchronize. 	5		Alternatives for Google Reader (with Android synchronizing)
how do i delete my profile. 	1		How do I delete my Ohloh profile?
how can i delete my twitter account. 	1		How can I delete my Twitter account?
correctly identifying spam messages. 	4		Correctly Identifying Spam Messages
how do i delete my email account. 	1		How do I delete my Gmail account?
totally blocking spam to gmail account. 	4		Totally Blocking Spam To Gmail Account
twitter indigo phone spam. 	4		Twitter and Echofon spam
how do i change my password on TV troops. 	0		How do I change my password on TV Tropes?
google bookmarks and chrome bookmark sync different. 	6		Google Bookmarks and Chrome Bookmark Sync -- Different?
find me not registration by parents or alternative that doesn't suck. 	5		Bugmenot (registration bypasser) alternative that doesn't suck?
how do i sync my run keeper workout schedule with google calender. 	6		How do I sync my RunKeeper workout schedule with Google Calender?
change subject line in new gmail compose. 	7		Change subject line in new Gmail compose window
how do i delete my linkedin account. 	1		How do I delete my LinkedIn account?
how can i backup my your host a blog. 	3		How can I backup my wordpress.com hosted blog?
google search engine alternatives. 	5		Google search engine alternatives
Mint alternatives for Canada	5		Mint alternatives for Canada
How can I sync my Yahoo! Calendar with Google Calendar?	6		How can I sync my Yahoo! Calendar with Google Calendar?
How do I delete my Experts Exchange account?	1		How do I delete my Experts Exchange account?
Alternatives to Google Groups with more features?	5		Alternatives to Google Groups with more features?
Email Google Form daily?	7		Email Google Form daily?
How can I export track.scrobble data from last.fm?	3		How can I export track.scrobble data from last.fm?
"Does using Gmail's ""Never send it to Spam"" filter mean I can't train their spam filter?"	4		"Does using Gmail's ""Never send it to Spam"" filter mean I can't train their spam filter?"
Discarding spam mail faster in Gmail	4		Discarding spam mail faster in Gmail
Are there any good Veoh or Youtube alternatives?	5		Are there any good Veoh or Youtube alternatives?
Alternatives to Twitter	5		Alternatives to Twitter
How do I download a YouTube video?	2		How do I download a YouTube video?
Stopping spam emails in Gmail by pattern	4		Stopping spam emails in Gmail by pattern
How can I permanently delete my MySpace account?	1		How can I permanently delete my MySpace account?
How to disable/delete a Harvest account?	1		How to disable/delete a Harvest account?
Why can't I change my password and login with Skype?	0		Why can't I change my password and login with Skype?
Alternatives for Google Reader (with Android synchronizing)	5		Alternatives for Google Reader (with Android synchronizing)
How do I delete my Ohloh profile?	1		How do I delete my Ohloh profile?
How can I delete my Twitter account?	1		How can I delete my Twitter account?
Correctly Identifying Spam Messages	4		Correctly Identifying Spam Messages
How do I delete my Gmail account?	1		How do I delete my Gmail account?
Totally Blocking Spam To Gmail Account	4		Totally Blocking Spam To Gmail Account
Twitter and Echofon spam	4		Twitter and Echofon spam
How do I change my password on TV Tropes?	0		How do I change my password on TV Tropes?
Google Bookmarks and Chrome Bookmark Sync -- Different?	6		Google Bookmarks and Chrome Bookmark Sync -- Different?
Bugmenot (registration bypasser) alternative that doesn't suck?	5		Bugmenot (registration bypasser) alternative that doesn't suck?
How do I sync my RunKeeper workout schedule with Google Calender?	6		How do I sync my RunKeeper workout schedule with Google Calender?
Change subject line in new Gmail compose window	7		Change subject line in new Gmail compose window
How do I delete my LinkedIn account?	1		How do I delete my LinkedIn account?
How can I backup my wordpress.com hosted blog?	3		How can I backup my wordpress.com hosted blog?
Google search engine alternatives	5		Google search engine alternatives
